District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
DADE,7061,SCHOOL FOR ADVANCED STUDIES NORTH,12,4,2,19,5,14,13,,1,,,,,,,37,21,58
DADE,7062,MAVERICKS HIGH OF NORTH MIAMI DADE COUNTY,12,2,,20,16,6,12,,1,,,,,,,28,29,57
DADE,7065,MAVERICKS HIGH OF SOUTH MIAMI DADE COUNTY,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7065,MAVERICKS HIGH OF SOUTH MIAMI DADE COUNTY,12,1,,10,17,20,23,,1,,,,,,,31,41,72
DADE,7067,GREEN SPRINGS HIGH SCHOOL CHARTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7067,GREEN SPRINGS HIGH SCHOOL CHARTER,12,1,2,4,12,32,44,,1,,,,,,,37,59,96
DADE,7068,NORTH GARDENS HIGH SCHOOL CHARTER,12,,1,17,23,6,6,,,,,,,,,23,30,53
DADE,7069,NORTH PARK HIGH SCHOOL,12,1,1,15,22,9,17,,,,,,,,,25,40,65
DADE,7071,CORAL GABLES SENIOR HIGH SCHOOL,12,41,39,20,29,288,280,4,2,,,,,,,353,350,703
DADE,7081,DESIGN & ARCHITECTURE SENIOR HIGH,12,12,12,7,12,50,28,2,,,,,,2,,73,52,125
DADE,7091,SCHOOL FOR ADVANCED STUDIES - SOUTH,12,4,9,5,1,63,33,3,2,,,,,,,75,45,120
DADE,7101,CORAL REEF SENIOR HIGH SCHOOL,12,74,72,48,44,241,191,12,14,,,,1,11,6,386,328,714
DADE,7111,HIALEAH SENIOR HIGH SCHOOL,12,5,5,14,19,264,263,,,,,,,,,283,287,570
DADE,7121,JOHN A. FERGUSON SENIOR HIGH,12,35,23,12,8,408,347,14,11,,,1,,,,470,389,859
DADE,7131,HIALEAH-MIAMI LAKES SENIOR HIGH,12,7,8,32,31,94,119,3,3,,,,,,,136,161,297
DADE,7141,DR MICHAEL M. KROP SENIOR HIGH,12,49,55,132,104,90,80,6,6,,,,1,,,277,246,523
DADE,7151,HOMESTEAD SENIOR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7151,HOMESTEAD SENIOR HIGH SCHOOL,12,10,8,66,63,66,68,1,,,,,,1,,144,139,283
DADE,7160,MATER ACADEMY CHARTER HIGH,12,3,5,3,6,211,178,,,,,,,,,217,189,406
DADE,7161,MAST ACADEMY,12,13,16,7,5,38,38,,2,,,,,,,58,61,119
DADE,7171,MEDICAL ACADEMY FOR SCIENCE AND TECHNOLOGY (M.A.S.T.) @ HOMESTEAD,12,7,7,15,6,53,25,3,1,,,,,1,,79,39,118
DADE,7191,HIALEAH GARDENS SENIOR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7191,HIALEAH GARDENS SENIOR HIGH SCHOOL,12,7,7,6,2,263,292,1,5,,,,,,,277,306,583
DADE,7201,MIAMI BEACH SENIOR HIGH SCHOOL,12,62,56,19,28,143,131,2,3,1,,,,3,,230,218,448
DADE,7231,MIAMI CAROL CITY SENIOR HIGH,12,,,167,107,22,10,,1,,,,,,,189,118,307
DADE,7241,RONALD W. REAGAN/DORAL SENIOR HIGH SCHOOL,12,21,16,3,3,229,200,7,4,,,,,,,260,223,483
DADE,7251,MIAMI CENTRAL SENIOR HIGH SCHOOL,12,1,,114,143,30,27,,,1,,,,,,146,170,316
DADE,7262,CITY OF HIALEAH EDUCATION ACADEMY,12,1,5,,1,34,40,,,,,,,,,35,46,81
DADE,7265,ARCHIMEDEAN UPPER CONSERVATORY,12,3,4,1,1,23,13,2,1,,,,,,1,29,20,49
DADE,7271,MIAMI CORAL PARK SENIOR HIGH,12,6,8,1,3,249,274,2,1,,,,,,,258,286,544
DADE,7291,JOSE MARTI MAST 6-12 ACADEMY,12,,2,,2,11,26,,,,,,,,,11,30,41
DADE,7301,MIAMI EDISON SENIOR HIGH SCHOOL,12,,1,63,55,9,9,,,,,,,,,72,65,137
DADE,7341,MIAMI JACKSON SENIOR HIGH SCHOOL,12,1,1,47,58,82,84,,,,,,,,,130,143,273
DADE,7351,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,12,5,3,8,12,21,16,,1,,,,,,,34,32,66
DADE,7361,MIAMI KILLIAN SENIOR HIGH SCHOOL,12,40,37,47,55,167,149,5,8,,,1,1,,1,260,251,511
DADE,7371,ROBERT MORGAN EDUCATIONAL CENTER,12,38,32,67,45,173,154,4,,1,,1,,,,284,231,515
DADE,7381,MIAMI NORLAND SENIOR HIGH SCHOOL,12,,1,119,120,6,3,,,,,,,,,125,124,249
DADE,7391,MIAMI LAKES EDUCATIONAL CENTER,12,6,5,32,21,93,113,5,5,,,,,1,,137,144,281
DADE,7411,MIAMI NORTHWESTERN SENIOR HIGH,12,1,,165,97,12,9,,,,,,,1,,179,106,285
DADE,7431,MIAMI PALMETTO SENIOR HIGH SCHOOL,12,127,117,32,34,133,119,16,19,,,1,1,2,1,311,291,602
DADE,7461,MIAMI SENIOR HIGH SCHOOL,12,7,10,7,6,238,248,1,,,,,,,,253,264,517
DADE,7511,MIAMI SPRINGS SENIOR HIGH SCHOOL,12,11,12,26,11,126,129,2,2,,,,,,,165,154,319
DADE,7531,MIAMI SUNSET SENIOR HIGH SCHOOL,12,21,23,8,8,149,164,2,4,,,,,1,1,181,200,381
DADE,7541,NORTH MIAMI BEACH SENIOR HIGH,12,3,4,168,131,38,27,5,4,,1,,,,1,214,168,382
DADE,7551,SCHOOL FOR ADVANCED STUDIES HOMESTEAD,12,5,2,6,4,24,12,1,2,,,,,1,,37,20,57
DADE,7571,INTERNATIONAL STUDIES PREPARATORY ACADEMY,12,4,,,,24,19,,,,,,,,,28,19,47
DADE,7581,I PREPARATORY ACADEMY,12,5,1,6,3,16,12,2,1,,,,,,,29,17,46
DADE,7591,NORTH MIAMI SENIOR HIGH SCHOOL,12,,2,204,195,18,24,2,6,,,,,,,224,227,451
DADE,7601,WILLIAM H. TURNER TECHNICAL ARTS HIGH SCHOOL,12,1,1,173,105,36,21,1,2,,,,,,,211,129,340
DADE,7631,MIAMI MACARTHUR SOUTH,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7701,SOUTH DADE SENIOR HIGH SCHOOL,12,44,48,55,63,162,192,2,1,,,2,1,,,265,305,570
DADE,7721,SOUTH MIAMI SENIOR HIGH SCHOOL,12,11,18,5,13,208,188,1,1,,,,,1,,226,220,446
DADE,7731,MIAMI SOUTHRIDGE SENIOR HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7731,MIAMI SOUTHRIDGE SENIOR HIGH,12,11,16,64,76,104,88,6,1,,,3,1,1,1,189,183,372
DADE,7741,SOUTHWEST MIAMI SENIOR HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7741,SOUTHWEST MIAMI SENIOR HIGH,12,21,22,1,4,323,293,1,4,,,,1,1,1,347,325,672
DADE,7751,BARBARA GOLEMAN SENIOR HIGH,12,16,21,11,23,172,174,1,4,,,,,,,200,222,422
DADE,7781,FELIX VARELA SENIOR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7781,FELIX VARELA SENIOR HIGH SCHOOL,12,29,37,11,14,307,255,3,6,,,1,,1,1,352,313,665
DADE,7791,BOOKER T. WASHINGTON SENIOR HIGH,12,1,3,47,46,25,26,1,,,,,,,,74,75,149
DADE,7804,AMIKIDS MIAMI-DADE SOUTH,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7805,AMIKIDS MIAMI-DADE NORTH,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7806,DADE JUVENILE RESIDENTIAL FACILITY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7811,MIAMI YOUTH ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7812,MIAMI BRIDGE SOUTH,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7835,RICHMOND PERRINE OPTIMIST,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7861,SECONDARY STUDENT SUCCESS CENTER 802,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7862,SECONDARY STUDENT SUCCESS CENTER 803,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7901,NEW WORLD SCHOOL OF THE ARTS,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7901,NEW WORLD SCHOOL OF THE ARTS,12,18,6,13,2,41,22,1,1,,,,,,2,73,33,106
DADE,8017,ALTERNATIVE OUTREACH PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,8019,ACADEMY FOR COMMUNITY EDUCATION (ACE),12,,,4,9,1,1,,,,,,,,,5,10,15
DADE,8101,JAN MANN OPPORTUNITY SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,8181,RUTH OWENS KRUSE EDUCATION CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,9731,INSTRUCTIONAL CENTER SYSTEM WIDE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,9732,BRUCIE BALL EDUCATIONAL CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DESOTO,31,DESOTO COUNTY HIGH SCHOOL,12,39,32,15,8,38,38,,1,,,1,,1,3,94,82,176
DESOTO,291,DESOTO ALTERNATIVE PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DESOTO,9114,REDUCED SERVICES,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DIXIE,21,DIXIE COUNTY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DIXIE,21,DIXIE COUNTY HIGH SCHOOL,12,39,38,1,4,5,2,,,,,,,1,,46,44,90
DUVAL,112,SCHOOL FOR THE FUTURE,12,4,8,25,31,1,2,,1,,,,,1,1,31,43,74
DUVAL,331,ROBERT E. LEE HIGH SCHOOL,12,34,46,130,100,8,15,13,8,,,,1,6,4,191,174,365
DUVAL,351,ANDREW JACKSON HIGH SCHOOL,12,5,4,56,47,,1,,,,,,,,,61,52,113
DUVAL,381,BALDWIN MIDDLE-SENIOR HIGH SCHOOL,12,44,51,10,6,1,3,,1,,,,,1,1,56,62,118
DUVAL,391,GATEWAY COMMUNITY SERVICES,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,431,IMPACT HALFWAY HOUSE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,471,LONE STAR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,471,LONE STAR HIGH SCHOOL,12,7,14,11,23,3,4,3,2,,,,,,2,24,45,69
DUVAL,501,CATAPULT ACADEMY,12,9,16,18,19,2,4,,2,,,,,,,29,41,70
DUVAL,531,DUVAL MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES,12,8,8,13,13,2,3,,,,,,,,2,23,26,49
DUVAL,751,PAXON SCHOOL/ADVANCED STUDIES,12,79,59,73,60,17,9,24,26,,,,,11,4,204,158,362
DUVAL,811,PACE CENTER FOR GIRLS-JAX,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,861,TERRY PARKER HIGH SCHOOL,12,51,44,64,59,17,21,1,6,,1,,1,7,7,140,139,279
DUVAL,901,ENGLEWOOD HIGH SCHOOL,12,54,53,50,43,25,24,3,10,,,,1,2,3,134,134,268
DUVAL,961,JEAN RIBAULT HIGH SCHOOL,12,,2,103,76,1,3,,,,,,,1,1,105,82,187
DUVAL,1073,DOUGLAS ANDERSON SCHOOL OF THE ARTS,12,110,49,42,23,16,7,8,8,,,,,10,2,186,89,275
DUVAL,1181,"SCHOOL FOR ACCELERATED LEARNING AND TECHNOLOGIES, INC",11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,1181,"SCHOOL FOR ACCELERATED LEARNING AND TECHNOLOGIES, INC",12,4,2,12,10,1,2,,,,,,,,,17,14,31
DUVAL,1201,RIVER CITY SCIENCE ACADEMY,12,20,32,4,12,,5,,1,,,,,1,,25,50,75
DUVAL,1311,DUVAL CHARTER HIGH SCHOOL AT BAYMEADOWS,12,15,15,4,14,2,4,1,,,,,,,2,22,35,57
DUVAL,1341,MURRAY HILL HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,1341,MURRAY HILL HIGH SCHOOL,12,6,7,16,16,2,3,,,,,,,1,1,25,27,52
DUVAL,1451,DARNELL COOKMAN MIDDLE/HIGH SCHOOL,12,18,5,25,9,3,2,3,10,,,,,4,,53,26,79
DUVAL,1531,STANTON COLLEGE PREPARATORY,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,1531,STANTON COLLEGE PREPARATORY,12,77,65,53,17,12,8,29,48,,,,1,6,3,177,142,319
DUVAL,1651,WILLIAM M. RAINES HIGH SCHOOL,12,1,1,113,99,,,,,,,,,,2,114,102,216
DUVAL,1761,PRETRIAL DETENTION FACILITY,12,,4,1,13,,,,,,,,,,1,1,18,19
DUVAL,1851,AMIKIDS JACKSONVILLE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,2231,DUNCAN U. FLETCHER HIGH SCHOOL,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,2231,DUNCAN U. FLETCHER HIGH SCHOOL,12,184,161,31,29,17,16,5,2,2,,,,5,8,244,216,460
DUVAL,2241,SAMUEL W. WOLFSON HIGH SCHOOL,12,31,42,89,71,11,9,3,4,1,,,,3,,138,126,264
DUVAL,2371,SANDALWOOD HIGH SCHOOL,12,137,153,80,71,42,40,37,31,,1,2,1,21,19,319,316,635
DUVAL,2411,WESTSIDE HIGH SCHOOL,12,23,27,85,71,7,9,2,4,,,1,,5,2,123,113,236
DUVAL,2481,EDWARD H. WHITE HIGH SCHOOL,12,45,30,98,68,8,2,5,3,,,,1,1,4,157,108,265
DUVAL,2601,MANDARIN HIGH SCHOOL,12,229,200,61,41,33,21,18,16,,,,2,8,3,349,283,632
DUVAL,2651,FIRST COAST HIGH SCHOOL,12,55,72,117,112,12,11,8,9,,1,,,5,9,197,214,411
DUVAL,2681,ATLANTIC COAST HIGH SCHOOL,12,116,104,62,66,31,17,19,24,1,,,1,15,9,244,221,465
DUVAL,2801,FRANK H. PETERSON ACADEMIES,12,27,44,55,32,17,16,4,6,,,,,9,4,112,102,214
DUVAL,2851,A. PHILIP RANDOLPH ACADEMIES,12,2,2,47,26,5,1,,1,,,,,,,54,30,84
DUVAL,5421,BISCAYNE HIGH SCHOOL,12,3,2,9,11,,1,,,,,,,,1,12,15,27
DUVAL,7004,DUVAL VIRTUAL ACADEMY FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DUVAL,7023,DUVAL VIRTUAL INSTRUCTION ACADEMY,12,7,8,6,4,,2,,,,,,,1,,14,14,28
ESCAMBIA,211,CAMELOT ACADEMY OF ESCAMBIA COUNTY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,281,ESCAMBIA HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,281,ESCAMBIA HIGH SCHOOL,12,64,90,29,35,10,7,5,2,1,,3,1,13,11,125,146,271
ESCAMBIA,411,PENSACOLA HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,411,PENSACOLA HIGH SCHOOL,12,54,38,53,50,6,8,19,10,,,1,,8,2,141,108,249
ESCAMBIA,521,J. M. TATE SENIOR HIGH SCHOOL,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,521,J. M. TATE SENIOR HIGH SCHOOL,12,139,140,29,17,7,2,2,4,1,,4,2,9,7,191,172,363
ESCAMBIA,862,PINE FOREST HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,862,PINE FOREST HIGH SCHOOL,12,55,44,78,54,8,6,4,6,1,,3,3,11,8,160,121,281
ESCAMBIA,866,JUDY ANDREWS SECOND CHANCE CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,933,HOSPITAL & HOMEBOUND,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,951,WASHINGTON SENIOR HIGH SCHOOL,12,106,86,67,58,16,4,8,5,,1,1,1,12,6,210,161,371
ESCAMBIA,1231,NORTHVIEW HIGH SCHOOL,12,32,36,11,7,1,,,,,,5,,2,4,51,47,98
ESCAMBIA,1251,WEST FLORIDA HIGH SCHOOL/TECHNICAL,12,67,72,49,31,7,3,6,7,,1,1,2,8,6,138,122,260
ESCAMBIA,2034,PACE PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ESCAMBIA,2081,ESCAMBIA CHARTER SCHOOL,12,,1,1,4,,1,,,,,,,4,,5,6,11
ESCAMBIA,2141,NEWPOINT PENSACOLA,12,5,7,1,,1,1,,,,,,,1,1,8,9,17
ESCAMBIA,7004,ESCAMBIA VIRTUAL ACADEMY FRANCHISE,12,29,14,5,1,2,,1,,,,,,3,,40,15,55
FLAGLER,90,MATANZAS HIGH SCHOOL,12,107,119,16,19,25,22,3,2,,,1,,9,11,161,173,334
FLAGLER,91,FLAGLER-PALM COAST HIGH SCHOOL,12,171,143,39,36,30,25,6,6,,,3,,9,11,258,221,479
FRANKLIN,91,FRANKLIN COUNTY SCHOOLS PK-12,12,17,16,6,2,1,,,,,,,,1,,25,18,43
GADSDEN,51,WEST GADSDEN HIGH SCHOOL,12,1,1,12,10,7,8,,,,,,,,,20,19,39
GADSDEN,71,EAST GADSDEN HIGH SCHOOL,12,1,1,75,59,8,9,,,1,,,,1,,86,69,155
GADSDEN,231,CARTER PARRAMORE ACADEMY,12,,,4,6,1,,,,,,,,,,5,6,11
GADSDEN,9106,GADSDEN CENTRAL ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GILCHRIST,21,TRENTON HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GILCHRIST,21,TRENTON HIGH SCHOOL,12,23,32,2,,,,,,,,,,,2,25,34,59
GILCHRIST,31,BELL HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GILCHRIST,31,BELL HIGH SCHOOL,12,49,38,,1,1,2,,,,,,,1,,51,41,92
GLADES,21,MOORE HAVEN JUNIOR/SENIOR HIGH SCHOOL,12,12,8,5,5,6,8,,,,,2,1,,,25,22,47
GULF,61,PORT ST. JOE HIGH SCHOOL,12,22,33,7,5,,1,,1,,,,,2,,31,40,71
GULF,81,WEWAHITCHKA HIGH SCHOOL,12,19,24,1,3,,1,,,,,,,1,1,21,29,50
HAMILTON,32,HAMILTON COUNTY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HAMILTON,32,HAMILTON COUNTY HIGH SCHOOL,12,18,19,11,14,4,3,,,,,,1,1,1,34,38,72
HARDEE,21,HARDEE SENIOR HIGH SCHOOL,12,53,35,9,6,63,56,3,2,,,,,1,2,129,101,230
HENDRY,181,LABELLE HIGH SCHOOL,12,45,44,5,1,69,64,,1,,,,,,1,119,111,230
HENDRY,201,CLEWISTON HIGH SCHOOL,12,22,22,14,20,57,42,,1,,,,,,,93,85,178
HENDRY,301,CLEWISTON YOUTH DEVELOPMENTAL ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HENDRY,5201,COUNTY WIDE EXCEPTIONAL STUDENT EDUCATION,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HERNANDO,51,HERNANDO HIGH SCHOOL,12,98,90,11,13,9,9,1,,,,1,1,2,,122,113,235
HERNANDO,181,FRANK W. SPRINGSTEAD HIGH SCHOOL,12,129,117,8,2,30,34,9,6,,,3,1,5,6,184,166,350
HERNANDO,251,CENTRAL HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HERNANDO,251,CENTRAL HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HERNANDO,251,CENTRAL HIGH SCHOOL,12,71,88,11,5,14,24,1,4,,,,,2,6,99,127,226
HERNANDO,351,NATURE COAST TECHNICAL HIGH,12,83,89,20,12,24,22,3,2,,,,,1,3,131,128,259
HERNANDO,391,WEEKI WACHEE HIGH SCHOOL,12,106,125,2,7,17,19,1,2,1,,,,1,2,128,155,283
HERNANDO,7004,HERNANDO ESCHOOL VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HIGHLANDS,51,WOODLAWN ELEMENTARY SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HIGHLANDS,221,SEBRING HIGH SCHOOL,12,92,83,15,13,33,37,3,7,,,1,,7,2,151,142,293
HIGHLANDS,231,AVON PARK HIGH SCHOOL,12,29,24,21,13,30,28,1,,,1,,,2,1,83,67,150
HIGHLANDS,251,LAKE PLACID HIGH SCHOOL,12,39,45,6,6,24,15,,,,,,,1,1,70,67,137
HILLSBOROUGH,43,SPOTO HIGH SCHOOL,12,26,22,46,51,57,53,3,7,,1,,,11,7,143,141,284
HILLSBOROUGH,73,LENNARD HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,73,LENNARD HIGH SCHOOL,12,39,29,48,29,91,96,5,2,1,1,1,1,8,10,193,168,361
HILLSBOROUGH,89,STEINBRENNER HIGH SCHOOL,12,206,168,15,19,53,52,5,8,,,,,10,9,289,256,545
HILLSBOROUGH,93,STRAWBERRY CREST HIGH SCHOOL,11,4,3,,,5,5,,,,,,,,,9,8,17
HILLSBOROUGH,93,STRAWBERRY CREST HIGH SCHOOL,12,131,109,17,18,51,65,14,12,1,,1,,3,6,218,210,428
HILLSBOROUGH,131,ARMWOOD HIGH SCHOOL,12,46,52,43,49,24,41,1,4,1,1,,,2,5,117,152,269
HILLSBOROUGH,151,ALONSO HIGH SCHOOL,12,97,71,23,22,124,117,11,16,,,,,10,7,265,233,498
HILLSBOROUGH,281,BLAKE HIGH SCHOOL,12,76,31,54,37,44,30,3,,1,1,,,13,3,191,102,293
HILLSBOROUGH,291,BRANDON HIGH SCHOOL,12,92,80,35,37,64,60,7,1,1,,1,,9,12,209,190,399
HILLSBOROUGH,363,WATERS CAREER CENTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,363,WATERS CAREER CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,371,SIMMONS CAREER CENTER,12,17,9,3,1,8,8,,,,,,,,1,28,19,47
HILLSBOROUGH,761,CHAMBERLAIN HIGH SCHOOL,12,58,56,29,32,57,62,9,7,,,,,5,8,158,165,323
HILLSBOROUGH,1291,DURANT HIGH SCHOOL,12,140,128,21,28,54,60,4,2,1,,1,,9,5,230,223,453
HILLSBOROUGH,1322,EAST BAY HIGH SCHOOL,12,95,106,52,39,64,58,6,4,1,,2,,12,5,232,212,444
HILLSBOROUGH,1541,FREEDOM HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,1541,FREEDOM HIGH SCHOOL,12,102,86,37,25,68,38,9,13,,,,1,7,5,223,168,391
HILLSBOROUGH,1551,GAITHER HIGH SCHOOL,12,89,82,18,24,75,80,7,11,,1,,1,8,5,197,204,401
HILLSBOROUGH,1881,HILLSBOROUGH HIGH SCHOOL,12,44,41,61,41,64,47,15,12,,1,1,,5,8,190,150,340
HILLSBOROUGH,2241,KING HIGH SCHOOL,12,46,43,57,60,20,33,37,31,,,1,,7,8,168,175,343
HILLSBOROUGH,2421,LETO HIGH SCHOOL,12,28,21,14,11,140,122,8,7,,,,,3,6,193,167,360
HILLSBOROUGH,2972,MENDEZ EXCEPTIONAL CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,3004,MIDDLETON HIGH SCHOOL,12,10,36,61,56,16,20,3,2,,,,1,2,3,92,118,210
HILLSBOROUGH,3171,NEWSOME HIGH SCHOOL,12,193,237,19,27,41,33,7,16,1,,2,,13,16,276,329,605
HILLSBOROUGH,3371,RIVERVIEW HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,3371,RIVERVIEW HIGH SCHOOL,12,120,115,46,51,67,63,3,4,1,,2,1,15,4,254,238,492
HILLSBOROUGH,3411,PLANT HIGH SCHOOL,12,219,191,16,15,47,41,9,5,,,2,,11,6,304,258,562
HILLSBOROUGH,3431,PLANT CITY HIGH SCHOOL,12,106,87,24,29,80,54,8,4,,1,2,,5,5,225,180,405
HILLSBOROUGH,3731,ROBINSON HIGH SCHOOL,12,78,71,20,23,24,41,27,12,,,,,19,11,168,158,326
HILLSBOROUGH,3784,JEFFERSON HIGH SCHOOL,12,17,14,56,41,89,83,2,1,,1,,,1,5,165,145,310
HILLSBOROUGH,4002,SIMMONS EXCEPTIONAL CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,4141,BLOOMINGDALE HIGH SCHOOL,12,148,170,27,20,60,60,5,4,,,1,3,14,10,255,267,522
HILLSBOROUGH,4151,SICKLES HIGH SCHOOL,12,108,98,10,14,84,94,7,5,,,,,11,14,220,225,445
HILLSBOROUGH,4154,SOUTH COUNTY CAREER CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,4155,BOWERS-WHITLEY CAREER CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,4221,TAMPA BAY TECH HIGH SCHOOL,12,31,30,144,78,64,50,17,11,1,,1,,3,12,261,181,442
HILLSBOROUGH,4321,DOROTHY THOMAS CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,4331,NORTH TAMPA ALTERNATIVE SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,4339,CATAPULT ACADEMY,12,3,1,3,1,6,,,,,,,,,1,12,3,15
HILLSBOROUGH,4731,WHARTON HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,4731,WHARTON HIGH SCHOOL,12,87,97,66,58,59,62,9,17,2,1,,,15,9,238,244,482
HILLSBOROUGH,5371,HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,6609,PEPIN ACADEMIES,12,2,15,2,4,2,1,,,,,,,,,6,20,26
