District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
BREVARD,2211,BAYSIDE HIGH SCHOOL,11,1,5,,2,,2,,,,,,,,,1,9,10
BREVARD,2211,BAYSIDE HIGH SCHOOL,12,109,98,41,36,18,28,1,1,1,,,1,7,9,177,173,350
BREVARD,2311,HERITAGE HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BREVARD,2311,HERITAGE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BREVARD,2311,HERITAGE HIGH SCHOOL,12,76,71,41,58,43,41,4,3,,,1,,10,11,175,184,359
BREVARD,3011,EAU GALLIE HIGH SCHOOL,12,97,113,10,10,20,29,4,5,,,1,1,19,7,151,165,316
BREVARD,3141,WESTSHORE JUNIOR/SENIOR HIGH SCHOOL,12,67,43,3,,8,4,6,8,,,,,3,1,87,56,143
BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,12,150,159,7,14,30,14,5,5,2,1,1,1,16,9,211,203,414
BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL,12,54,52,4,1,5,11,6,,,,,,2,2,71,66,137
BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,12,67,66,1,1,13,7,4,3,,,,,6,4,91,81,172
BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,12,107,116,2,2,13,14,,2,,,,,4,14,126,148,274
BREVARD,7004,BREVARD VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,171,SOUTH BROWARD HIGH SCHOOL,12,53,56,53,46,77,75,4,2,1,,1,1,6,7,195,187,382
BROWARD,185,POMPANO BEACH HIGH SCHOOL,12,77,67,37,25,36,25,8,4,,,1,,5,1,164,122,286
BROWARD,211,STRANAHAN HIGH SCHOOL,12,7,15,105,78,29,20,6,1,,,,,2,1,149,115,264
BROWARD,241,MCARTHUR HIGH SCHOOL,12,51,39,67,64,122,117,12,6,1,,,2,3,2,256,230,486
BROWARD,361,BLANCHE ELY HIGH SCHOOL,12,7,6,196,143,18,12,2,2,,,1,,1,2,225,165,390
BROWARD,371,DILLARD  6-12,12,6,6,150,141,11,5,1,1,1,,,,4,2,173,155,328
BROWARD,403,HALLANDALE HIGH SCHOOL,12,6,6,84,77,20,14,,1,,,1,,2,,113,98,211
BROWARD,452,WHIDDON RODGERS EDUCATION CENTER,12,2,5,46,55,3,8,,,,,,,,1,51,69,120
BROWARD,592,HALLANDALE ADULT/COMMUNITY CENTER,12,5,6,19,23,9,14,,1,,,,,1,1,34,45,79
BROWARD,601,SEAGULL SCHOOL,12,1,,7,8,2,2,,,,,,,,,10,10,20
BROWARD,951,FORT LAUDERDALE HIGH SCHOOL,12,56,45,152,83,31,31,6,6,,,1,,5,2,251,167,418
BROWARD,1151,CORAL SPRINGS HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,1151,CORAL SPRINGS HIGH SCHOOL,12,72,74,87,114,69,66,17,16,,1,3,1,10,10,258,282,540
BROWARD,1241,NORTHEAST HIGH SCHOOL,12,39,28,86,70,64,53,2,4,,2,,3,4,5,195,165,360
BROWARD,1281,NOVA HIGH SCHOOL,12,69,56,129,95,43,52,10,14,,,1,1,2,4,254,222,476
BROWARD,1291,WILLIAM T. MCFATTER TECHNICAL COLLEGE,12,16,19,13,7,30,37,5,7,,,,,4,1,68,71,139
BROWARD,1451,PLANTATION HIGH SCHOOL,12,35,33,140,139,19,34,2,12,1,,2,,3,6,202,224,426
BROWARD,1661,HOLLYWOOD HILLS HIGH SCHOOL,12,64,55,34,34,60,44,4,8,,1,1,,4,4,167,146,313
BROWARD,1681,COCONUT CREEK HIGH SCHOOL,12,3,5,79,65,6,14,4,4,,,,,4,,96,88,184
BROWARD,1711,DEERFIELD BEACH HIGH SCHOOL,12,40,51,102,122,63,61,13,11,,,1,,9,2,228,247,475
BROWARD,1741,BOYD H. ANDERSON HIGH SCHOOL,12,2,3,169,141,8,4,2,1,,1,1,,2,1,184,151,335
